customer_id,tenure_months,monthly_spend,support_tickets,last_login_days,plan_type,churn_probability,churned,rule_flag,rule_signal_strength,logistic_probability,logistic_flag
SYN-1875039,5,16.7700,1,50,Standard,0.5720,1,1,0.5000,0.7761,1
SYN-2495926,16,20.1200,1,51,Premium,0.5770,1,0,0.2500,0.7749,1
SYN-9707586,3,20.6700,1,51,Standard,0.5670,1,1,0.5000,0.7541,1
SYN-4956521,1,11.8500,3,27,Standard,0.5520,1,1,0.7500,0.7428,1
SYN-7266882,28,6.3700,6,24,Basic,0.5550,1,1,0.5000,0.7248,1
SYN-4299783,5,14.8200,1,34,Basic,0.5830,1,1,0.5000,0.7057,1
SYN-4190733,25,19.6100,4,45,Basic,0.5590,1,0,0.2500,0.6802,1
SYN-9038089,17,10.8000,2,49,Standard,0.5390,1,0,0.2500,0.6691,1
SYN-6088359,7,16.2800,0,38,Premium,0.5540,1,0,0.2500,0.6462,1
SYN-5130241,10,16.1200,3,39,Standard,0.5250,1,0,0.2500,0.6196,1
SYN-3148896,1,22.1600,2,24,Premium,0.5340,1,0,0.2500,0.5983,0
SYN-9149820,24,17.5300,5,33,Basic,0.5330,1,0,0.2500,0.5782,0
SYN-7702858,25,7.7300,1,43,Premium,0.5310,1,0,0.2500,0.5761,0
SYN-6983657,14,7.3600,2,38,Standard,0.5110,1,0,0.2500,0.5250,0
SYN-3971766,3,29.2900,1,53,Standard,0.5130,1,1,0.5000,0.4834,0
SYN-1955283,22,10.7400,3,44,Standard,0.4930,0,1,0.5000,0.4661,0
SYN-3042183,13,35.1500,3,43,Premium,0.5010,1,0,0.2500,0.4530,0
SYN-4083316,5,19.4100,2,38,Standard,0.4980,0,0,0.2500,0.4440,0
SYN-1611279,34,11.2400,1,58,Basic,0.5240,1,1,0.5000,0.4177,0
SYN-9933989,22,18.8600,1,50,Basic,0.5140,1,0,0.2500,0.3556,0
SYN-8161118,13,22.8600,1,55,Standard,0.4860,0,0,0.2500,0.3544,0
SYN-5054135,4,23.5000,4,15,Basic,0.4950,0,1,0.5000,0.3380,0
SYN-5919124,2,17.3300,0,41,Standard,0.4870,0,0,0.2500,0.3313,0
SYN-9082787,1,26.3200,1,43,Standard,0.4790,0,0,0.2500,0.3126,0
SYN-7965603,19,8.1500,3,33,Standard,0.4580,0,1,0.5000,0.2912,0
SYN-4916949,23,21.5200,2,46,Basic,0.4910,0,0,0.0000,0.2786,0
SYN-1803258,24,15.0900,1,46,Basic,0.4940,0,0,0.2500,0.2714,0
SYN-8490337,19,17.2600,2,47,Standard,0.4520,0,0,0.0000,0.2390,0
SYN-3105455,32,13.7900,4,47,Standard,0.4370,0,1,0.5000,0.2306,0
SYN-2451445,31,10.9900,3,37,Basic,0.4710,0,1,0.5000,0.2304,0
SYN-5619038,5,23.3100,1,42,Standard,0.4580,0,0,0.2500,0.2279,0
SYN-5226001,9,19.7800,2,21,Premium,0.4550,0,0,0.0000,0.2193,0
SYN-9964961,13,23.8700,1,52,Standard,0.4540,0,0,0.2500,0.2193,0
SYN-7457294,18,15.3600,3,36,Standard,0.4320,0,0,0.2500,0.1877,0
SYN-2705242,10,26.5300,2,44,Standard,0.4390,0,0,0.0000,0.1844,0
SYN-4008622,15,7.5700,1,19,Premium,0.4420,0,0,0.2500,0.1660,0
SYN-8494102,21,30.9500,1,55,Basic,0.4630,0,0,0.2500,0.1546,0
SYN-7621770,8,13.4000,2,10,Premium,0.4310,0,1,0.5000,0.1473,0
SYN-1524724,21,13.6500,0,53,Standard,0.4300,0,1,0.5000,0.1336,0
SYN-4337181,20,36.8200,3,47,Basic,0.4430,0,0,0.2500,0.1287,0
SYN-7304705,14,13.3600,1,22,Premium,0.4280,0,0,0.2500,0.1257,0
SYN-5166464,30,32.2600,3,49,Premium,0.4110,0,0,0.2500,0.1109,0
SYN-5053472,25,17.7200,1,43,Basic,0.4410,0,0,0.0000,0.1051,0
SYN-3488934,29,15.3000,1,41,Premium,0.4170,0,0,0.0000,0.1044,0
SYN-5015406,3,17.6900,2,10,Basic,0.4340,0,0,0.2500,0.0992,0
SYN-4429190,6,23.2300,1,37,Standard,0.4110,0,0,0.2500,0.0974,0
SYN-7276311,21,10.6700,4,24,Standard,0.3900,0,1,0.5000,0.0960,0
SYN-5480123,20,5.6200,0,25,Premium,0.4180,0,0,0.2500,0.0955,0
SYN-9736281,19,23.6800,1,53,Standard,0.4080,0,0,0.2500,0.0938,0
SYN-7690382,5,7.3700,0,24,Standard,0.4090,0,1,0.5000,0.0878,0
SYN-2153022,15,14.7600,0,28,Premium,0.4140,0,0,0.2500,0.0858,0
SYN-8242878,35,26.7200,1,59,Premium,0.4070,0,0,0.2500,0.0835,0
SYN-9302749,21,8.3100,1,26,Basic,0.4240,0,0,0.2500,0.0771,0
SYN-6464767,18,20.8400,1,31,Premium,0.4000,0,0,0.0000,0.0709,0
SYN-7839094,5,35.7500,3,35,Standard,0.3840,0,1,0.5000,0.0677,0
SYN-2258172,8,19.8900,0,39,Standard,0.3960,0,0,0.2500,0.0644,0
SYN-4761628,32,19.3800,1,50,Basic,0.4150,0,0,0.2500,0.0643,0
SYN-4334136,5,9.3700,1,18,Standard,0.3870,0,1,0.5000,0.0623,0
SYN-7943970,25,16.0100,2,43,Standard,0.3770,0,0,0.0000,0.0578,0
SYN-7302385,20,20.9100,2,42,Standard,0.3770,0,0,0.0000,0.0563,0
SYN-3045148,22,26.3800,1,44,Basic,0.4070,0,0,0.0000,0.0521,0
SYN-5460632,21,9.8100,5,13,Standard,0.3550,0,1,0.5000,0.0506,0
SYN-4296371,25,28.2900,0,55,Basic,0.4080,0,0,0.2500,0.0476,0
SYN-5908861,29,14.6300,2,45,Standard,0.3670,0,0,0.2500,0.0467,0
SYN-8557733,17,21.6500,3,16,Premium,0.3680,0,0,0.2500,0.0454,0
SYN-4657481,26,19.1700,3,28,Basic,0.3850,0,0,0.2500,0.0421,0
SYN-3932427,4,21.3300,1,27,Standard,0.3700,0,0,0.2500,0.0416,0
SYN-6171405,29,13.7900,2,31,Basic,0.3840,0,0,0.2500,0.0373,0
SYN-4275153,23,23.3500,3,28,Basic,0.3790,0,0,0.2500,0.0369,0
SYN-2502756,13,32.9800,2,32,Basic,0.3870,0,0,0.0000,0.0365,0
SYN-4934366,32,24.7200,1,52,Basic,0.3890,0,0,0.2500,0.0360,0
SYN-2642946,10,8.0800,0,25,Standard,0.3660,0,0,0.2500,0.0356,0
SYN-9462753,31,10.1500,0,41,Basic,0.3920,0,0,0.2500,0.0355,0
SYN-7015625,30,6.6600,1,30,Basic,0.3850,0,0,0.2500,0.0346,0
SYN-1335360,27,30.9400,1,48,Premium,0.3650,0,0,0.0000,0.0339,0
SYN-1815097,29,12.7700,2,29,Basic,0.3770,0,0,0.2500,0.0323,0
SYN-4908850,8,38.0000,1,32,Premium,0.3640,0,0,0.2500,0.0313,0
SYN-7884988,21,16.5200,0,46,Standard,0.3570,0,0,0.0000,0.0286,0
SYN-3494094,30,19.0900,3,42,Standard,0.3400,0,0,0.2500,0.0286,0
SYN-7178303,28,21.1100,0,59,Standard,0.3540,0,0,0.2500,0.0269,0
SYN-5545138,26,5.0200,0,39,Standard,0.3490,0,0,0.2500,0.0254,0
SYN-5738310,8,21.7500,1,17,Basic,0.3710,0,0,0.2500,0.0234,0
SYN-8448679,24,9.1400,2,17,Basic,0.3620,0,0,0.2500,0.0233,0
SYN-8055083,21,25.9700,1,33,Premium,0.3480,0,0,0.0000,0.0231,0
SYN-5239865,20,15.7100,3,9,Premium,0.3370,0,0,0.2500,0.0230,0
SYN-4897136,10,18.2600,1,27,Standard,0.3410,0,0,0.0000,0.0221,0
SYN-1810430,21,9.8300,0,24,Basic,0.3600,0,0,0.2500,0.0172,0
SYN-6425543,32,6.0300,2,17,Premium,0.3250,0,0,0.2500,0.0164,0
SYN-2446193,35,13.1400,2,44,Standard,0.3200,0,0,0.2500,0.0161,0
SYN-8695719,18,13.8100,0,19,Premium,0.3300,0,0,0.2500,0.0137,0
SYN-8082318,20,18.2800,0,42,Standard,0.3240,0,0,0.0000,0.0135,0
SYN-7453525,12,7.4400,0,9,Basic,0.3500,0,0,0.2500,0.0135,0
SYN-9258868,28,35.4400,0,54,Premium,0.3300,0,0,0.2500,0.0131,0
SYN-6080498,26,16.1800,2,35,Standard,0.3120,0,0,0.0000,0.0130,0
SYN-7850256,23,29.0100,1,39,Basic,0.3420,0,0,0.0000,0.0123,0
SYN-7270936,22,36.2000,0,47,Premium,0.3270,0,0,0.0000,0.0120,0
SYN-6672542,31,5.7800,0,29,Basic,0.3390,0,0,0.2500,0.0109,0
SYN-6013288,15,12.4800,2,0,Premium,0.3060,0,0,0.2500,0.0097,0
SYN-5503166,8,37.6700,0,46,Standard,0.3130,0,0,0.2500,0.0095,0
SYN-4050493,12,8.0100,0,3,Premium,0.3130,0,0,0.2500,0.0091,0
SYN-1773510,28,11.8500,2,30,Standard,0.2930,0,0,0.2500,0.0082,0
SYN-3209330,26,18.1800,1,28,Basic,0.3200,0,0,0.0000,0.0075,0
SYN-2257772,12,39.9900,2,40,Standard,0.2930,0,0,0.0000,0.0073,0
SYN-7142458,27,14.5400,3,9,Premium,0.2880,0,1,0.5000,0.0071,0
SYN-5156894,34,10.0800,4,10,Basic,0.2940,0,1,0.5000,0.0060,0
SYN-5244103,13,6.5600,1,10,Standard,0.2860,0,0,0.2500,0.0059,0
SYN-6684978,4,34.7000,1,29,Standard,0.2880,0,0,0.2500,0.0057,0
SYN-8727380,14,11.7000,0,10,Basic,0.3090,0,0,0.2500,0.0051,0
SYN-8074577,8,20.7300,1,6,Basic,0.3030,0,0,0.2500,0.0047,0
SYN-2370808,28,8.3800,3,1,Premium,0.2710,0,1,0.5000,0.0046,0
SYN-1788849,31,13.8600,2,16,Premium,0.2730,0,0,0.2500,0.0043,0
SYN-8991007,27,8.1100,2,9,Basic,0.2900,0,0,0.2500,0.0042,0
SYN-1712776,24,24.0900,0,30,Premium,0.2830,0,0,0.0000,0.0042,0
SYN-4676757,13,24.3900,2,9,Basic,0.2910,0,0,0.0000,0.0039,0
SYN-8244091,28,18.8900,1,27,Basic,0.2920,0,0,0.0000,0.0038,0
SYN-2388605,2,33.1200,0,16,Basic,0.2970,0,0,0.2500,0.0034,0
SYN-5475970,32,35.4800,2,43,Basic,0.2840,0,0,0.0000,0.0034,0
SYN-4127492,26,23.0800,1,24,Premium,0.2690,0,0,0.0000,0.0033,0
SYN-6978821,8,14.6600,1,9,Standard,0.2650,0,1,0.5000,0.0033,0
SYN-7153305,8,24.6200,2,2,Basic,0.2840,0,0,0.2500,0.0032,0
SYN-9844644,25,14.0000,3,17,Standard,0.2530,0,1,0.5000,0.0032,0
SYN-5991262,31,16.0500,3,26,Standard,0.2500,0,0,0.2500,0.0030,0
SYN-8034106,4,15.2500,0,10,Standard,0.2660,0,0,0.2500,0.0029,0
SYN-4621728,28,17.1000,2,13,Premium,0.2570,0,0,0.0000,0.0027,0
SYN-2799173,29,22.3500,0,47,Standard,0.2590,0,0,0.0000,0.0025,0
SYN-7910594,29,19.1500,4,20,Standard,0.2410,0,0,0.2500,0.0025,0
SYN-1277360,14,23.6700,1,24,Standard,0.2540,0,0,0.0000,0.0024,0
SYN-7822788,13,13.8700,0,16,Standard,0.2450,0,0,0.2500,0.0017,0
SYN-8326182,7,37.2400,3,16,Standard,0.2340,0,1,0.5000,0.0017,0
SYN-2169293,15,14.4100,1,13,Standard,0.2400,0,0,0.2500,0.0016,0
SYN-7028325,17,24.2400,0,20,Basic,0.2660,0,0,0.0000,0.0016,0
SYN-9105594,21,7.3600,1,0,Basic,0.2540,0,0,0.2500,0.0014,0
SYN-3532454,19,10.1000,0,2,Premium,0.2410,0,0,0.2500,0.0013,0
SYN-8680626,12,19.1900,0,19,Standard,0.2370,0,0,0.0000,0.0013,0
SYN-9340883,8,18.7500,0,2,Basic,0.2590,0,0,0.2500,0.0013,0
SYN-3811299,33,20.5400,0,30,Premium,0.2400,0,0,0.0000,0.0013,0
SYN-4949905,34,21.9000,4,12,Basic,0.2320,0,0,0.2500,0.0010,0
SYN-7101270,12,34.5500,1,28,Standard,0.2260,0,0,0.0000,0.0010,0
SYN-8154212,24,23.5000,1,19,Basic,0.2440,0,0,0.0000,0.0010,0
SYN-1829223,27,10.3400,2,14,Standard,0.2160,0,0,0.2500,0.0010,0
SYN-1312236,30,23.5100,1,37,Standard,0.2180,0,0,0.0000,0.0009,0
SYN-8395069,28,14.6800,0,31,Standard,0.2210,0,0,0.2500,0.0009,0
SYN-8171582,26,5.0200,1,12,Standard,0.2150,0,0,0.2500,0.0008,0
SYN-2931261,23,34.6900,0,46,Standard,0.2210,0,0,0.0000,0.0008,0
SYN-2751748,11,20.9500,0,5,Basic,0.2410,0,0,0.0000,0.0008,0
SYN-6712464,35,6.8600,1,24,Standard,0.2100,0,0,0.2500,0.0007,0
SYN-6794785,29,26.7700,0,32,Basic,0.2350,0,0,0.0000,0.0007,0
SYN-3890941,1,28.1000,0,11,Standard,0.2160,0,0,0.2500,0.0007,0
SYN-2136526,11,23.0200,2,5,Standard,0.2020,0,0,0.0000,0.0006,0
SYN-2030770,33,13.9700,1,9,Premium,0.1930,0,0,0.2500,0.0003,0
SYN-4487305,22,11.6200,2,3,Standard,0.1850,0,0,0.2500,0.0003,0
SYN-5011186,23,15.3700,1,13,Standard,0.1840,0,0,0.0000,0.0003,0
SYN-9657078,19,36.1600,1,30,Standard,0.1840,0,0,0.0000,0.0003,0
SYN-4256313,23,22.0400,0,13,Basic,0.2000,0,0,0.0000,0.0002,0
SYN-8026560,24,16.9300,1,14,Standard,0.1750,0,0,0.0000,0.0002,0
SYN-1066260,32,7.2500,1,1,Basic,0.1880,0,0,0.2500,0.0002,0
SYN-6087124,26,21.9300,1,9,Basic,0.1880,0,0,0.0000,0.0002,0
SYN-8494629,32,13.2600,0,8,Premium,0.1740,0,0,0.2500,0.0002,0
SYN-7147439,34,8.3200,1,2,Basic,0.1770,0,0,0.2500,0.0001,0
SYN-5982214,21,32.6500,0,18,Basic,0.1820,0,0,0.0000,0.0001,0
SYN-6667878,12,36.5400,3,4,Standard,0.1520,0,0,0.2500,0.0001,0
SYN-6891143,12,27.3200,0,0,Basic,0.1760,0,0,0.0000,0.0001,0
SYN-6889859,30,19.6200,0,25,Standard,0.1570,0,0,0.0000,0.0001,0
SYN-3594952,27,25.6600,1,19,Standard,0.1430,0,0,0.0000,0.0001,0
SYN-9637232,30,20.2100,1,16,Standard,0.1400,0,0,0.0000,0.0000,0
SYN-3642343,26,33.4400,1,25,Standard,0.1390,0,0,0.0000,0.0000,0
SYN-3490836,15,33.9800,1,12,Standard,0.1390,0,0,0.0000,0.0000,0
SYN-8023278,26,22.7200,0,19,Standard,0.1400,0,0,0.0000,0.0000,0
SYN-1204408,31,10.9100,1,5,Standard,0.1310,0,0,0.2500,0.0000,0
SYN-6957247,18,23.6600,0,0,Standard,0.1060,0,0,0.0000,0.0000,0
SYN-8005450,32,34.8300,2,13,Standard,0.0910,0,0,0.0000,0.0000,0
SYN-1687088,27,38.7400,1,14,Standard,0.0850,0,0,0.0000,0.0000,0
SYN-6000822,33,20.7900,1,0,Standard,0.0800,0,0,0.0000,0.0000,0
SYN-6032863,34,38.4000,3,7,Standard,0.0740,0,0,0.2500,0.0000,0
