customer_id,tenure_months,monthly_spend,support_tickets,last_login_days,plan_type,churn_probability,churned
SYN-3932427,4,21.33,1,27,Standard,0.37,0
SYN-9149820,24,17.53,5,33,Basic,0.533,1
SYN-4334136,5,9.37,1,18,Standard,0.387,0
SYN-1687088,27,38.74,1,14,Standard,0.085,0
SYN-5226001,9,19.78,2,21,Premium,0.455,0
SYN-8161118,13,22.86,1,55,Standard,0.486,0
SYN-2705242,10,26.53,2,44,Standard,0.439,0
SYN-5166464,30,32.26,3,49,Premium,0.411,0
SYN-2169293,15,14.41,1,13,Standard,0.24,0
SYN-7178303,28,21.11,0,59,Standard,0.354,0
SYN-5281343,3,16.05,1,55,Standard,0.633,1
SYN-3971766,3,29.29,1,53,Standard,0.513,1
SYN-3042183,13,35.15,3,43,Premium,0.501,1
SYN-6080498,26,16.18,2,35,Standard,0.312,0
SYN-7028325,17,24.24,0,20,Basic,0.266,0
SYN-9462753,31,10.15,0,41,Basic,0.392,0
SYN-4934366,32,24.72,1,52,Basic,0.389,0
SYN-2446193,35,13.14,2,44,Standard,0.32,0
SYN-8494102,21,30.95,1,55,Basic,0.463,0
SYN-6667878,12,36.54,3,4,Standard,0.152,0
SYN-7302385,20,20.91,2,42,Standard,0.377,0
SYN-1875039,5,16.77,1,50,Standard,0.572,1
SYN-3811299,33,20.54,0,30,Premium,0.24,0
SYN-7910594,29,19.15,4,20,Standard,0.241,0
SYN-8490337,19,17.26,2,47,Standard,0.452,0
SYN-4916949,23,21.52,2,46,Basic,0.491,0
SYN-8242878,35,26.72,1,59,Premium,0.407,0
SYN-8575225,11,18.97,1,52,Premium,0.638,1
SYN-4487305,22,11.62,2,3,Standard,0.185,0
SYN-9082787,1,26.32,1,43,Standard,0.479,0
SYN-3594952,27,25.66,1,19,Standard,0.143,0
SYN-3156019,2,5.74,0,41,Premium,0.699,1
SYN-7142458,27,14.54,3,9,Premium,0.288,0
SYN-6730855,4,12.56,0,50,Basic,0.686,1
SYN-2257772,12,39.99,2,40,Standard,0.293,0
SYN-8494629,32,13.26,0,8,Premium,0.174,0
SYN-2799173,29,22.35,0,47,Standard,0.259,0
SYN-8244091,28,18.89,1,27,Basic,0.292,0
SYN-1066260,32,7.25,1,1,Basic,0.188,0
SYN-8171582,26,5.02,1,12,Standard,0.215,0
SYN-8082318,20,18.28,0,42,Standard,0.324,0
SYN-8023278,26,22.72,0,19,Standard,0.14,0
SYN-6983657,14,7.36,2,38,Standard,0.511,1
SYN-5244103,13,6.56,1,10,Standard,0.286,0
SYN-7346487,9,12.57,2,33,Basic,0.595,1
SYN-3494094,30,19.09,3,42,Standard,0.34,0
SYN-8026560,24,16.93,1,14,Standard,0.175,0
SYN-6000822,33,20.79,1,0,Standard,0.08,0
SYN-5130241,10,16.12,3,39,Standard,0.525,1
SYN-5550455,7,12.21,1,37,Basic,0.608,1
SYN-6118670,3,14.06,2,56,Premium,0.788,1
SYN-1335360,27,30.94,1,48,Premium,0.365,0
SYN-2258172,8,19.89,0,39,Standard,0.396,0
SYN-3209330,26,18.18,1,28,Basic,0.32,0
SYN-2030770,33,13.97,1,9,Premium,0.193,0
SYN-4956521,1,11.85,3,27,Standard,0.552,1
SYN-7015625,30,6.66,1,30,Basic,0.385,0
SYN-6889859,30,19.62,0,25,Standard,0.157,0
SYN-5239865,20,15.71,3,9,Premium,0.337,0
SYN-8695719,18,13.81,0,19,Premium,0.33,0
SYN-6087124,26,21.93,1,9,Basic,0.188,0
SYN-1712776,24,24.09,0,30,Premium,0.283,0
SYN-7884988,21,16.52,0,46,Standard,0.357,0
SYN-6171405,29,13.79,2,31,Basic,0.384,0
SYN-6712464,35,6.86,1,24,Standard,0.21,0
SYN-6088359,7,16.28,0,38,Premium,0.554,1
SYN-5982214,21,32.65,0,18,Basic,0.182,0
SYN-1815097,29,12.77,2,29,Basic,0.377,0
SYN-6032863,34,38.4,3,7,Standard,0.074,0
SYN-8154212,24,23.5,1,19,Basic,0.244,0
SYN-3735550,1,16.74,2,56,Premium,0.786,1
SYN-6425543,32,6.03,2,17,Premium,0.325,0
SYN-1277360,14,23.67,1,24,Standard,0.254,0
SYN-4127492,26,23.08,1,24,Premium,0.269,0
SYN-4930456,11,21.61,1,56,Premium,0.647,1
SYN-9844644,25,14.0,3,17,Standard,0.253,0
SYN-2931261,23,34.69,0,46,Standard,0.221,0
SYN-3488934,29,15.3,1,41,Premium,0.417,0
SYN-4676757,13,24.39,2,9,Basic,0.291,0
SYN-9933989,22,18.86,1,50,Basic,0.514,1
SYN-8680626,12,19.19,0,19,Standard,0.237,0
SYN-1312236,30,23.51,1,37,Standard,0.218,0
SYN-3105455,32,13.79,4,47,Standard,0.437,0
SYN-8395069,28,14.68,0,31,Standard,0.221,0
SYN-1524724,21,13.65,0,53,Standard,0.43,0
SYN-8701036,26,9.62,5,43,Basic,0.65,1
SYN-3532454,19,10.1,0,2,Premium,0.241,0
SYN-9258868,28,35.44,0,54,Premium,0.33,0
SYN-3642343,26,33.44,1,25,Standard,0.139,0
SYN-4908850,8,38.0,1,32,Premium,0.364,0
SYN-6957247,18,23.66,0,0,Standard,0.106,0
SYN-2136526,11,23.02,2,5,Standard,0.202,0
SYN-6013288,15,12.48,2,0,Premium,0.306,0
SYN-5545138,26,5.02,0,39,Standard,0.349,0
SYN-8055083,21,25.97,1,33,Premium,0.348,0
SYN-9964961,13,23.87,1,52,Standard,0.454,0
SYN-6978821,8,14.66,1,9,Standard,0.265,0
SYN-4682677,5,9.81,1,50,Basic,0.73,1
SYN-4657481,26,19.17,3,28,Basic,0.385,0
SYN-4761628,32,19.38,1,50,Basic,0.415,0
SYN-8326182,7,37.24,3,16,Standard,0.234,0
SYN-3890941,1,28.1,0,11,Standard,0.216,0
SYN-2502756,13,32.98,2,32,Basic,0.387,0
SYN-4008622,15,7.57,1,19,Premium,0.442,0
SYN-1204408,31,10.91,1,5,Standard,0.131,0
SYN-1955283,22,10.74,3,44,Standard,0.493,0
SYN-1810430,21,9.83,0,24,Basic,0.36,0
SYN-7943970,25,16.01,2,43,Standard,0.377,0
SYN-7501233,2,13.88,0,38,Basic,0.609,1
SYN-7270936,22,36.2,0,47,Premium,0.327,0
SYN-5156894,34,10.08,4,10,Basic,0.294,0
SYN-7453525,12,7.44,0,9,Basic,0.35,0
SYN-2451445,31,10.99,3,37,Basic,0.471,0
SYN-9105594,21,7.36,1,0,Basic,0.254,0
SYN-5509402,32,7.42,5,50,Basic,0.664,1
SYN-9442461,10,21.27,1,59,Basic,0.67,1
SYN-2370808,28,8.38,3,1,Premium,0.271,0
SYN-5475970,32,35.48,2,43,Basic,0.284,0
SYN-7266882,28,6.37,6,24,Basic,0.555,1
SYN-5460632,21,9.81,5,13,Standard,0.355,0
SYN-5015406,3,17.69,2,10,Basic,0.434,0
SYN-2495926,16,20.12,1,51,Premium,0.577,1
SYN-4429190,6,23.23,1,37,Standard,0.411,0
SYN-3148896,1,22.16,2,24,Premium,0.534,1
SYN-3713608,15,5.57,3,54,Basic,0.767,1
SYN-7153305,8,24.62,2,2,Basic,0.284,0
SYN-6672542,31,5.78,0,29,Basic,0.339,0
SYN-6464767,18,20.84,1,31,Premium,0.4,0
SYN-4256313,23,22.04,0,13,Basic,0.2,0
SYN-9637232,30,20.21,1,16,Standard,0.14,0
SYN-1788849,31,13.86,2,16,Premium,0.273,0
SYN-4083316,5,19.41,2,38,Standard,0.498,0
SYN-4050493,12,8.01,0,3,Premium,0.313,0
SYN-9657078,19,36.16,1,30,Standard,0.184,0
SYN-4296371,25,28.29,0,55,Basic,0.408,0
